Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Unnamed: 10,Target,mass_frac
Sodium nitroferricyanide dihydrate,Sodium nitroprusside dihydrate,Na2(Fe(CN)5NO)+2H2O,13755-38-9,297.949,red cry,,,1.72,4016.0,,Na,0.154320579155
Sodium nitroferricyanide dihydrate,Sodium nitroprusside dihydrate,Na2(Fe(CN)5NO)+2H2O,13755-38-9,297.949,red cry,,,1.72,4016.0,,O,0.16109578857
Sodium orthovanadate,,Na3VO4,13721-39-6,183.909,col hex prisms,860,,,,,Na,0.37501987348
Sodium orthovanadate,,Na3VO4,13721-39-6,183.909,col hex prisms,860,,,,,O,0.347986265292
Sodium orthovanadate,,Na3VO4,13721-39-6,183.909,col hex prisms,860,,,,,V,0.276993861229
Sodium oxalate,,Na2C2O4,62-76-0,133.999,wh powder,≈250 dec,,2.34,3.6125,,C,0.179266134229
Sodium oxalate,,Na2C2O4,62-76-0,133.999,wh powder,≈250 dec,,2.34,3.6125,,Na,0.343134627095
Sodium oxalate,,Na2C2O4,62-76-0,133.999,wh powder,≈250 dec,,2.34,3.6125,,O,0.477599238676
Sodium oxide,Sodium monoxide,Na2O,1313-59-3,61.979,wh amorp powder,1134,,2.27,,,Na,0.741857470106
Sodium oxide,Sodium monoxide,Na2O,1313-59-3,61.979,wh amorp powder,1134,,2.27,,,O,0.258142529894
Sodium perborate tetrahydrate,,NaBO3+4H2O,7632-04-4,153.861,wh cry,60 dec,,,,,B,0.0702651353616
Sodium perborate tetrahydrate,,NaBO3+4H2O,7632-04-4,153.861,wh cry,60 dec,,,,,H,0.0524081328546
Sodium perborate tetrahydrate,,NaBO3+4H2O,7632-04-4,153.861,wh cry,60 dec,,,,,Na,0.149419965812
Sodium perborate tetrahydrate,,NaBO3+4H2O,7632-04-4,153.861,wh cry,60 dec,,,,,O,0.727906765972
Sodium perchlorate,,NaClO4,7601-89-0,122.441,wh orth cry; hyg,482 dec,,2.52,20525.0,,Cl,0.289553194004
Sodium perchlorate,,NaClO4,7601-89-0,122.441,wh orth cry; hyg,482 dec,,2.52,20525.0,,Na,0.187762985486
Sodium perchlorate,,NaClO4,7601-89-0,122.441,wh orth cry; hyg,482 dec,,2.52,20525.0,,O,0.522683820511
Sodium perchlorate monohydrate,,NaClO4+H2O,7791-07-3,140.456,wh hyg cry,≈130 dec,,2.02,20525.0,,Cl,0.252414197519
Sodium perchlorate monohydrate,,NaClO4+H2O,7791-07-3,140.456,wh hyg cry,≈130 dec,,2.02,20525.0,,H,0.0143524308943
Sodium perchlorate monohydrate,,NaClO4+H2O,7791-07-3,140.456,wh hyg cry,≈130 dec,,2.02,20525.0,,Na,0.163679918877
Sodium perchlorate monohydrate,,NaClO4+H2O,7791-07-3,140.456,wh hyg cry,≈130 dec,,2.02,20525.0,,O,0.56955345271
Sodium periodate,,NaIO4,7790-28-5,213.892,wh tetr cry,≈300 dec,,3.86,14.425,,I,0.593311415841
Sodium periodate,,NaIO4,7790-28-5,213.892,wh tetr cry,≈300 dec,,3.86,14.425,,Na,0.107483152968
Sodium periodate,,NaIO4,7790-28-5,213.892,wh tetr cry,≈300 dec,,3.86,14.425,,O,0.299205431191
Sodium periodate trihydrate,Sodium metaperiodate,NaIO4+3H2O,13472-31-6,267.938,wh hex cry,175 dec,,3.22,14.425,,H,0.022571069572
Sodium periodate trihydrate,Sodium metaperiodate,NaIO4+3H2O,13472-31-6,267.938,wh hex cry,175 dec,,3.22,14.425,,I,0.473634280707
Sodium periodate trihydrate,Sodium metaperiodate,NaIO4+3H2O,13472-31-6,267.938,wh hex cry,175 dec,,3.22,14.425,,Na,0.0858026737478
Sodium periodate trihydrate,Sodium metaperiodate,NaIO4+3H2O,13472-31-6,267.938,wh hex cry,175 dec,,3.22,14.425,,O,0.417991975973
Sodium permanganate trihydrate,,NaMnO4+3H2O,10101-50-5*,195.972,red-blk hyg cry,170 dec,,2.47,14420.0,,H,0.0308598320821
Sodium permanganate trihydrate,,NaMnO4+3H2O,10101-50-5*,195.972,red-blk hyg cry,170 dec,,2.47,14420.0,,Mn,0.280337262737
