Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Target,mass_frac
Magnesium sulfide,,MgS,12032-36-9,56.37,red-brn cub cry,2226,,2.68,,S,0.568830938442
Manganese,,Mn,7439-96-5,54.938,hard gray metal,1246,2061,7.3,,Mn,1.0
Manganese boride (MnB),,MnB,12045-15-7,65.749,orth cry,1890,,6.45,,B,0.164428243787
Manganese boride (MnB),,MnB,12045-15-7,65.749,orth cry,1890,,6.45,,Mn,0.835571756213
Manganese boride (Mn2B),,Mn2B,12045-16-8,120.687,red-brn tetr cry,1580,,7.2,,B,0.0895787610754
Manganese boride (Mn2B),,Mn2B,12045-16-8,120.687,red-brn tetr cry,1580,,7.2,,Mn,0.910421238925
Manganese boride (MnB2),Manganese diboride,MnB2,12228-50-1,76.56,hex cry,1827,,5.3,,B,0.282418851765
Manganese boride (MnB2),Manganese diboride,MnB2,12228-50-1,76.56,hex cry,1827,,5.3,,Mn,0.717581148235
Manganese carbide,,Mn3C,12266-65-8,176.825,refrac solid,1520,,6.89,,C,0.0679242822424
Manganese carbide,,Mn3C,12266-65-8,176.825,refrac solid,1520,,6.89,,Mn,0.932075717758
Manganese(II) carbonate,Rhodochrosite,MnCO3,598-62-9,114.947,pink hex cry,>200 dec,,3.7,8.2e-05,C,0.104489075373
Manganese(II) carbonate,Rhodochrosite,MnCO3,598-62-9,114.947,pink hex cry,>200 dec,,3.7,8.2e-05,Mn,0.477942628227
Manganese(II) carbonate,Rhodochrosite,MnCO3,598-62-9,114.947,pink hex cry,>200 dec,,3.7,8.2e-05,O,0.4175682964
Manganese carbonyl,Dimanganese decacarbonyl,Mn2(CO)10,10170-69-1,389.977,yel monocl cry,154,,1.75,,C,0.307984758797
Manganese carbonyl,Dimanganese decacarbonyl,Mn2(CO)10,10170-69-1,389.977,yel monocl cry,154,,1.75,,Mn,0.281750115116
Manganese carbonyl,Dimanganese decacarbonyl,Mn2(CO)10,10170-69-1,389.977,yel monocl cry,154,,1.75,,O,0.410265126087
Manganese(II) fluoride,Manganese difluoride,MnF2,7782-64-1,92.935,red tetr cry,900,,3.98,1.0225,F,0.408854222368
Manganese(II) fluoride,Manganese difluoride,MnF2,7782-64-1,92.935,red tetr cry,900,,3.98,1.0225,Mn,0.591145777632
Manganese(III) fluoride,,MnF3,7783-53-1,111.933,red monocl cry; hyg,>600 dec,,3.54,,F,0.509189246785
Manganese(III) fluoride,,MnF3,7783-53-1,111.933,red monocl cry; hyg,>600 dec,,3.54,,Mn,0.490810753215
Manganese(II) hydroxide,Pyrochroite,Mn(OH)2,18933-05-6,88.953,pink hex cry,dec,,3.26,0.000342,H,0.0226623748738
Manganese(II) hydroxide,Pyrochroite,Mn(OH)2,18933-05-6,88.953,pink hex cry,dec,,3.26,0.000342,Mn,0.617609466152
Manganese(II) hydroxide,Pyrochroite,Mn(OH)2,18933-05-6,88.953,pink hex cry,dec,,3.26,0.000342,O,0.359728158974
Manganese(III) hydroxide,Manganite,MnO(OH),1332-63-4,87.945,blk monocl cry,250 dec,,≈4.3,,H,0.0114610547971
Manganese(III) hydroxide,Manganite,MnO(OH),1332-63-4,87.945,blk monocl cry,250 dec,,≈4.3,,Mn,0.624687922087
Manganese(III) hydroxide,Manganite,MnO(OH),1332-63-4,87.945,blk monocl cry,250 dec,,≈4.3,,O,0.363851023116
Manganese(II) iodide,Manganese diiodide,MnI2,7790-33-2,308.747,wh hex cry; hyg,638,,5.04,,I,0.822061274542
Manganese(II) iodide,Manganese diiodide,MnI2,7790-33-2,308.747,wh hex cry; hyg,638,,5.04,,Mn,0.177938725458
Manganese(II) nitrate,,Mn(NO3)2,10377-93-2,178.947,col orth cry; hyg,,,2.2,16125.0,Mn,0.30700590443
Manganese(II) nitrate,,Mn(NO3)2,10377-93-2,178.947,col orth cry; hyg,,,2.2,16125.0,N,0.156545053672
Manganese(II) nitrate,,Mn(NO3)2,10377-93-2,178.947,col orth cry; hyg,,,2.2,16125.0,O,0.536449041898
Manganese(II) oxide,Manganosite,MnO,1344-43-0,70.937,grn cub cry or powder,1842,,5.37,,Mn,0.774457622487
Manganese(II) oxide,Manganosite,MnO,1344-43-0,70.937,grn cub cry or powder,1842,,5.37,,O,0.225542377513
"Manganese(II,III) oxide",Hausmannite,Mn3O4,1317-35-7,228.812,brn tetr cry,1567,,4.84,,Mn,0.720304555184
"Manganese(II,III) oxide",Hausmannite,Mn3O4,1317-35-7,228.812,brn tetr cry,1567,,4.84,,O,0.279695444816
Manganese(III) oxide,Manganese trioxide,Mn2O3,1317-34-6,157.874,blk cub cry,1080 dec,,≈5.0,,Mn,0.695972029391
Manganese(III) oxide,Manganese trioxide,Mn2O3,1317-34-6,157.874,blk cub cry,1080 dec,,≈5.0,,O,0.304027970609
Manganese(IV) oxide,Manganese dioxide,MnO2,1313-13-9,86.937,blk tetr cry,535 dec,,5.08,,Mn,0.631930512316
Manganese(IV) oxide,Manganese dioxide,MnO2,1313-13-9,86.937,blk tetr cry,535 dec,,5.08,,O,0.368069487684
Manganese(VII) oxide,Manganese heptoxide,Mn2O7,12057-92-0,221.872,grn oil; exp,5.9,95 exp,2.4,,Mn,0.495223121775
Manganese(VII) oxide,Manganese heptoxide,Mn2O7,12057-92-0,221.872,grn oil; exp,5.9,95 exp,2.4,,O,0.504776878225
Manganese phosphide (MnP),,MnP,12032-78-9,85.912,orth cry,1147,,5.49,,Mn,0.639470253489
Manganese phosphide (MnP),,MnP,12032-78-9,85.912,orth cry,1147,,5.49,,P,0.360529746511
Manganese phosphide (Mn2P),,Mn2P,12333-54-9,140.85,hex cry,1327,,6,,Mn,0.780093755441
Manganese phosphide (Mn2P),,Mn2P,12333-54-9,140.85,hex cry,1327,,6,,P,0.219906244559
Manganese(II) pyrophosphate,,Mn2P2O7,53731-35-4,283.819,wh monocl cry,1196,,3.71,,Mn,0.387133806146
Manganese(II) pyrophosphate,,Mn2P2O7,53731-35-4,283.819,wh monocl cry,1196,,3.71,,O,0.394602322729
Manganese(II) pyrophosphate,,Mn2P2O7,53731-35-4,283.819,wh monocl cry,1196,,3.71,,P,0.218263871125
Manganese(II) sulfate,,MnSO4,7785-87-7,151.001,wh orth cry,700,850 dec,3.25,63.725,Mn,0.363826558489
Manganese(II) sulfate,,MnSO4,7785-87-7,151.001,wh orth cry,700,850 dec,3.25,63.725,O,0.423823355192
Manganese(II) sulfate,,MnSO4,7785-87-7,151.001,wh orth cry,700,850 dec,3.25,63.725,S,0.212350086319
Manganese(II) sulfide (α form),Alabandite,MnS,18820-29-6,87.003,grn cub cry,1610,,4,,Mn,0.63144968087
Manganese(II) sulfide (α form),Alabandite,MnS,18820-29-6,87.003,grn cub cry,1610,,4,,S,0.36855031913
Mercury(II) acetate,Mercuric acetate,Hg(C2H3O2)2,1600-27-7,318.68,wh-yel cry or powder,179 dec,,3.28,2510.0,C,0.150756544128
Mercury(II) acetate,Mercuric acetate,Hg(C2H3O2)2,1600-27-7,318.68,wh-yel cry or powder,179 dec,,3.28,2510.0,H,0.0189772724848
Mercury(II) acetate,Mercuric acetate,Hg(C2H3O2)2,1600-27-7,318.68,wh-yel cry or powder,179 dec,,3.28,2510.0,Hg,0.629444062101
Mercury(II) acetate,Mercuric acetate,Hg(C2H3O2)2,1600-27-7,318.68,wh-yel cry or powder,179 dec,,3.28,2510.0,O,0.200822121286
Mercury(II) chlorate,Mercuric chlorate,Hg(ClO3)2,13465-30-0,367.49,wh needles,dec,,4.998,25.0,Cl,0.192945486764
Mercury(II) chlorate,Mercuric chlorate,Hg(ClO3)2,13465-30-0,367.49,wh needles,dec,,4.998,25.0,Hg,0.545834417256
Mercury(II) chlorate,Mercuric chlorate,Hg(ClO3)2,13465-30-0,367.49,wh needles,dec,,4.998,25.0,O,0.26122009598
Mercury(I) chlorate,Mercurous chlorate,Hg2(ClO3)2,10294-44-7,568.08,wh rhom cry,≈250 dec,,6.409,,Cl,0.124816399874
Mercury(I) chlorate,Mercurous chlorate,Hg2(ClO3)2,10294-44-7,568.08,wh rhom cry,≈250 dec,,6.409,,Hg,0.706200368116
Mercury(I) chlorate,Mercurous chlorate,Hg2(ClO3)2,10294-44-7,568.08,wh rhom cry,≈250 dec,,6.409,,O,0.16898323201
Mercury(II) cyanide,Cianurina,Hg(CN)2,592-04-1,252.62,col tetr cry,320 dec,,4,11.425,C,0.0950872598415
Mercury(II) cyanide,Cianurina,Hg(CN)2,592-04-1,252.62,col tetr cry,320 dec,,4,11.425,Hg,0.794023389628
Mercury(II) cyanide,Cianurina,Hg(CN)2,592-04-1,252.62,col tetr cry,320 dec,,4,11.425,N,0.110889350531
Mercury(I) fluoride,Mercurous fluoride,Hg2F2,13967-25-4,439.18,yel cub cry,570 dec,subl,8.73,,F,0.0865182446939
Mercury(I) fluoride,Mercurous fluoride,Hg2F2,13967-25-4,439.18,yel cub cry,570 dec,subl,8.73,,Hg,0.913481755306
Mercury(II) fluoride,Mercuric fluoride,HgF2,7783-39-3,238.59,wh cub cry; hyg,645 dec,,8.95,,F,0.159257785346
Mercury(II) fluoride,Mercuric fluoride,HgF2,7783-39-3,238.59,wh cub cry; hyg,645 dec,,8.95,,Hg,0.840742214654
Mercury(II) fulminate,Mercuric fulminate,Hg(CNO)2,628-86-4,284.62,gray cry,exp,,4.42,,C,0.0843970774033
